lottery_id,lottery_name,lottery_status,development_type,borough,postcode,address,neighborhood,lottery_start_date,lottery_end_date,unit_count,studio_units,1br_units,2br_units,3br_units,4br_units,ami_extremely_low,ami_very_low,ami_low,ami_moderate,ami_middle,ami_above,mobility_percent,vision_hearing_percent,community_board_percent,municipal_employee_percent,nycha_percent,senior_percent,latitude,longitude,reporting_construction_type,community_board,bbl,bin
7522,223 East 117th Street aka PETER JAY SHARP RESIDENCE,Active,Rental,MN,10035,223 EAST  117 STREET,MN1102,2026-07-01,2026-07-23,23,23,,,,,,,23,,,,5,2,,,,,40.798344,-73.938827,Preservation,111,1016670012,1085963
7589,534 Third Avenue Apartments,Active,Rental,MN,10016,534 3rd Ave,MN0603,2026-06-15,2026-07-07,40,21,12,7,,,,16,16,,8,,5,2,20,10,,,40.74676,-73.977383,New Construction,106,1008910044,1000000
7532,Artifact No. 1861,Active,Rental,MN,10031,1861 Amsterdam Ave,MN0903,2026-05-04,2026-06-03,18,4,12,2,,,,,,,18,,,,,,,,40.829873,-73.944204,New Construction,109,1020670001,1000000
7548,RIALTO WEST,Active,Rental,MN,10036,509 W 48th St,MN0402,2026-05-20,2026-07-20,133,32,36,53,12,,,39,31,47,16,,5,2,20,10,,,40.763565,-73.992997,Preservation,104,1010770029,1000000
7563,Three Waterline Square aka 635 West 59th Street - Waiting List,Active,Rental,MN,10019,635 WEST   59 STREET,MN0701,2026-06-01,2026-06-23,55,,24,28,3,,,22,33,,,,,,,,,,40.772279,-73.991999,Preservation,107,1011710157,1089374
7523,WILLOW TREE RESIDENCES,Active,Rental,MN,10017,225 E 45th St,MN0604,2026-05-05,2026-07-03,51,51,,,,,,,51,,,,5,2,20,10,,,40.752396,-73.97232,New Construction,106,1013190011,1000000
7492,West Harlem Renaissance,Active,Rental,MN,10030,103-109 W 141st St,MN1002,2026-04-27,2026-05-28,21,,3,,18,,,6,15,,,,5,2,,,,,40.818117,-73.938574,Preservation,110,1020100024,1060089
7492,West Harlem Renaissance,Active,Rental,MN,10030,121-123 W 144th St,MN1002,2026-04-27,2026-05-28,23,10,13,,,,,6,15,2,,,5,2,,,,,40.820219,-73.937767,Preservation,110,1020130020,1060166
7566,104 Fleet Place Apartments,Active,Rental,BK,11201,104 Fleet Place,BK0202,2026-06-22,2026-07-14,20,5,5,10,,,,,20,,,,,,,,,,40.692615,-73.981782,New Construction,302,3020620018,3000000
7568,1211 Fulton Street Apartments,Active,Rental,BK,11216,1211 Fulton St,BK0301,2026-06-01,2026-06-23,12,,4,8,,,,,,,12,,,,,,,,40.680617,-73.952946,New Construction,303,3018420066,3000000
7497,1427 Fulton Street Apartments,Active,Rental,BK,11216,1427 Fulton St,BK0301,2026-05-01,2026-05-22,3,1,1,1,,,,,,,3,,,,,,,,40.680119,-73.944376,New Construction,303,3018540048,3053468
3376,147 Stanhope Street Apartments,Active,Rental,BK,11221,147 Stanhope St,BK0401,2023-01-26,2023-02-16,3,,1,2,,,,,,,3,,,,,,,,40.698617,-73.922499,New Construction,304,3032560030,3427331
7529,163 Willoughby Street Apartments,Active,Rental,BK,11201,163 Willoughby St,BK0202,2026-07-06,2026-07-27,20,5,5,10,,,,,20,,,,,,,,,,40.692041,-73.982013,New Construction,302,,
7519,165 Willoughby Street Apartments,Active,Rental,BK,11201,165 WILLOUGHBY STREET,BK0202,2026-04-27,2026-06-29,20,5,,15,,,,,20,,,,5,2,20,10,,,40.692038,-73.981948,New Construction,302,3020620024,3058263
7462,170 Freeman Street Apartments,Active,Rental,BK,11222,170 FREEMAN STREET,BK0101,2026-04-13,2026-06-15,21,3,13,5,,,,,11,,10,,5,2,20,10,,,40.734481,-73.954532,New Construction,301,3025130006,3000000
7553,173 Tompkins Avenue Apartments,Active,Rental,BK,11206,173 Tompkins Ave,BK0301,2026-06-04,2026-06-26,3,,1,2,,,,,,,3,,,,,,,,40.693325,-73.945887,Preservation,303,3017720008,3000000
7517,2683 Atlantic Avenue Apartments,Active,Rental,BK,11207,2683 ATLANTIC AVENUE,BK0502,2026-05-21,2026-06-12,58,,,58,,,,23,24,9,2,,,,20,10,,,40.67588,-73.895281,New Construction,305,3036710038,3339353
7562,275 20th Street Apartments,Active,Rental,BK,11215,275 20 STREET,BK0702,2026-06-03,2026-06-25,13,13,,,,,,3,,10,,,,,,,,,40.661323,-73.991851,Preservation,307,3008850058,3017170
7561,282 4th Avenue Apartments,Active,Rental,BK,11215,282 4 AVENUE,BK0601,2026-06-01,2026-06-23,13,,6,7,,,,7,3,3,,,5,2,20,10,,,40.675603,-73.984357,New Construction,306,3004560032,3332112
7584,343 Himrod Street Apartments,Active,Rental,BK,11237,343 Himrod St,BK0401,2026-06-29,2026-07-20,15,,,15,,,,5,10,,,,,,,,,,40.702473,-73.917535,Preservation,304,3032700024,3074538
7395,584 Gates Avenue Apartments,Active,Rental,BK,11221,584 Gates Ave,BK0301,2026-01-12,2026-06-02,9,,9,,,,,,,,9,,,,,,,,40.687164,-73.942283,New Construction,303,3018150040,3332253
7473,645 Park Place Aka 711 Franklin Avenue Apartments,Active,Rental,BK,11216,645 Park Pl,BK0802,2026-06-25,2026-07-20,18,,12,6,,,,,15,,3,,5,2,20,5,,,40.674080000000004,-73.956202,New Construction,308,3012310001,3000000
